week_start,disease_label,model_family,forecast_case_count,lower_95,upper_95,development_status
2026-02-16,ARI,ARIMA,5.086,0.35,9.822,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-23,ARI,ARIMA,5.084,0.348,9.82,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-02,ARI,ARIMA,5.08,0.344,9.816,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-09,ARI,ARIMA,5.078,0.342,9.814,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-16,ARI,ARIMA,5.075,0.339,9.811,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-23,ARI,ARIMA,5.072,0.336,9.808,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-05,ILI,SARIMA,5.794,0.305,11.283,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-12,ILI,SARIMA,6.927,1.286,12.568,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-19,ILI,SARIMA,6.407,0.757,12.056,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-26,ILI,SARIMA,6.552,0.902,12.202,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-02,ILI,SARIMA,6.557,0.907,12.207,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-09,ILI,SARIMA,6.436,0.786,12.086,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-16,ILI,SARIMA,6.682,1.032,12.332,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-23,ILI,SARIMA,5.822,0.172,11.472,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-02,ILI,SARIMA,6.067,0.417,11.717,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-09,ILI,SARIMA,6.067,0.417,11.717,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-16,ILI,SARIMA,6.682,1.032,12.332,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-23,ILI,SARIMA,5.822,0.172,11.472,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-05,DIARRHEA_GASTROENTERITIS,ARIMA,3.987,0.0,9.315,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-12,DIARRHEA_GASTROENTERITIS,ARIMA,4.785,0.0,10.301,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-19,DIARRHEA_GASTROENTERITIS,ARIMA,4.997,0.0,10.526,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-26,DIARRHEA_GASTROENTERITIS,ARIMA,5.052,0.0,10.581,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-02,DIARRHEA_GASTROENTERITIS,ARIMA,5.064,0.0,10.594,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-09,DIARRHEA_GASTROENTERITIS,ARIMA,5.066,0.0,10.596,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-16,DIARRHEA_GASTROENTERITIS,ARIMA,5.064,0.0,10.594,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-23,DIARRHEA_GASTROENTERITIS,ARIMA,5.062,0.0,10.592,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-02,DIARRHEA_GASTROENTERITIS,ARIMA,5.059,0.0,10.589,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-09,DIARRHEA_GASTROENTERITIS,ARIMA,5.057,0.0,10.587,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-16,DIARRHEA_GASTROENTERITIS,ARIMA,5.054,0.0,10.584,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-23,DIARRHEA_GASTROENTERITIS,ARIMA,5.051,0.0,10.581,SYNTHETIC_TECHNICAL_TESTING_ONLY
