month_start,medicine_code,medicine_name,model_family,forecast_quantity_dispensed,lower_95,upper_95,development_status
2026-01-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,SARIMA,553.676,449.95,657.402,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,SARIMA,520.379,415.724,625.034,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,SARIMA,480.201,375.53,584.873,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-04-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,SARIMA,440.258,335.586,544.93,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-05-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,SARIMA,406.833,302.161,511.505,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-06-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,SARIMA,434.893,330.221,539.565,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-01,SYN-MED-004,Cetirizine 10 mg Tablet,SARIMA,323.012,273.212,372.812,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-01,SYN-MED-004,Cetirizine 10 mg Tablet,SARIMA,327.887,271.666,384.108,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-01,SYN-MED-004,Cetirizine 10 mg Tablet,SARIMA,320.192,262.333,378.05,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-04-01,SYN-MED-004,Cetirizine 10 mg Tablet,SARIMA,332.475,274.174,390.775,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-05-01,SYN-MED-004,Cetirizine 10 mg Tablet,SARIMA,330.522,272.101,388.943,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-06-01,SYN-MED-004,Cetirizine 10 mg Tablet,SARIMA,317.757,259.302,376.211,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-01,SYN-MED-005,Amoxicillin 500 mg Capsule,SARIMA,265.563,225.268,305.858,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-01,SYN-MED-005,Amoxicillin 500 mg Capsule,SARIMA,222.254,180.497,264.011,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-01,SYN-MED-005,Amoxicillin 500 mg Capsule,SARIMA,239.962,197.958,281.966,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-04-01,SYN-MED-005,Amoxicillin 500 mg Capsule,SARIMA,206.813,164.766,248.86,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-05-01,SYN-MED-005,Amoxicillin 500 mg Capsule,SARIMA,192.017,149.963,234.071,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-06-01,SYN-MED-005,Amoxicillin 500 mg Capsule,SARIMA,169.879,127.824,211.935,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-01-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,SARIMA,214.581,185.376,243.786,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-02-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,SARIMA,216.188,186.464,245.911,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-03-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,SARIMA,222.639,192.597,252.681,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-04-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,SARIMA,198.79,168.551,229.029,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-05-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,SARIMA,174.739,144.378,205.099,SYNTHETIC_TECHNICAL_TESTING_ONLY
2026-06-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,SARIMA,169.474,139.038,199.911,SYNTHETIC_TECHNICAL_TESTING_ONLY
